trip_id,route_id,service_id,trip_headsign,direction_id
B1:07:30:PNJ:B1:1,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:08:00:PNJ:B3:2,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:08:15:PNJ:B4:3,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:08:30:PNJ:B5:4,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:08:45:PNJ:B1:5,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:09:00:PNJ:B2:6,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:09:15:PNJ:B3:7,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:09:30:PNJ:B4:8,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:09:45:PNJ:B5:9,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:10:00:PNJ:B1:10,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:10:15:PNJ:B2:11,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:10:30:PNJ:B3:12,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:10:45:PNJ:B4:13,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:11:00:PNJ:B5:14,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:11:30:PNJ:B1:15,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:11:45:PNJ:B2:16,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:12:00:PNJ:B3:17,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:12:15:PNJ:B4:18,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:12:30:PNJ:B5:19,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:13:00:PNJ:B2:20,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:13:15:PNJ:B3:21,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:13:30:PNJ:B4:22,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:13:45:PNJ:B5:23,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:14:00:PNJ:B1:24,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:14:30:PNJ:B2:25,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:15:00:PNJ:B3:26,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:15:30:PNJ:B1:27,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:16:00:PNJ:B4:28,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:16:30:PNJ:B5:29,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:17:00:PNJ:B1:30,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:17:20:PNJ:B4:31,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:17:40:PNJ:B2:32,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:18:00:PNJ:B3:33,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:18:15:PNJ:B5:34,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:18:30:PNJ:B1:35,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
B1:19:00:PNJ:B2:36,B1,FULLW,PANAJI-18th June Road-Fontainhas-PANAJI,0
