route_id,route_short_name,route_long_name,route_type,route_text_color,route_color,agency_id
PRV192,PRV192,MAPUSA - KHARPAL via BICHOLIM,3,,,ktcl-goa-in
PRV31,PRV31,PANAJI - NANODA via MARCEL,3,,,ktcl-goa-in
PNJ110,PNJ110,PANAJI - PANAJI via ALTINHO,3,,,ktcl-goa-in
PRV232,PRV232,PANAJI - PATRADEVI,3,,,ktcl-goa-in
PRV203E,PRV203E,PANAJI - PATRADEVI,3,00b33c,,ktcl-goa-in
PNJ23,PNJ23,PANAJI - PEDNE via MAPUSA,3,,,ktcl-goa-in
PRV45,PRV45,PANAJI - MORLLEM,3,,,ktcl-goa-in
PNJ119IS,PNJ119IS,PANAJI - MORLE via DODAMARG,3,,,ktcl-goa-in
PRV108,PRV108,PANAJI - MORJIM via SIOLIM,3,,,ktcl-goa-in
PNJ208,PNJ208,PANAJI - MAPUSA,3,,,ktcl-goa-in
PNJ209,PNJ209,PANAJI - MAPUSA,3,,,ktcl-goa-in
PRV60,PRV60,PANAJI - MAPUSA,3,,,ktcl-goa-in
PNJ7,PNJ7,PANAJI - MAPUSA,3,,,ktcl-goa-in
PRV119,PRV119,PANAJI - MAPUSA via BRITTONA,3,,,ktcl-goa-in
PRV59,PRV59,PANAJI - MAPUSA via UCASSAIM,3,,,ktcl-goa-in
MRG180,MRG180,PANAJI - MARGAO,3,,,ktcl-goa-in
MRG180E,MRG180E,PANAJI - MARGAO,3,00b33c,,ktcl-goa-in
PRV5,PRV5,PANAJI - MARGAO,3,,,ktcl-goa-in
PNJ5,PNJ5,PANAJI - MARGAO via PONDA,3,,,ktcl-goa-in
PRV96,PRV96,PANAJI - MORJIM via ARABO,3,,,ktcl-goa-in
PNJ104S,PNJ104S,PANAJI - MARGAO,3,00b33c,,ktcl-goa-in
PNJ50,PNJ50,PANAJI - PETECHAWADA via PEDNE,3,,,ktcl-goa-in
MRG75,MRG75,PANAJI - PIRLA,3,,,ktcl-goa-in
PNJ14,PNJ14,PANAJI - PONDA,3,,,ktcl-goa-in
PRV151IS,PRV151IS,PANAJI - SAWANTWADI via DODAMARG,3,,,ktcl-goa-in
PNJ118IS,PNJ118IS,PANAJI - SAWANTWADI via PATRADEVI,3,,,ktcl-goa-in
PNJ94,PNJ94,PANAJI - SECRETARIAT via SAI SERVICE,3,,,ktcl-goa-in
PNJ48,PNJ48,PANAJI - SHEMECHADVN,3,,,ktcl-goa-in
PRV24,PRV24,PANAJI - SHIGNE via MAPUSA,3,,,ktcl-goa-in
MRG13,MRG13,PANAJI - SHIRODA,3,,,ktcl-goa-in
VSD10,VSD10,PANAJI - SHIRODA via PONDA,3,,,ktcl-goa-in
MRG172EIS,MRG172EIS,PANAJI - SAWANTWA,3,00b33c,,ktcl-goa-in
PRV70,PRV70,PANAJI - SINQUIREM,3,,,ktcl-goa-in
PNJ34,PNJ34,PANAJI - SONSHI via MARCEL,3,,,ktcl-goa-in
PRV167,PRV167,PANAJI - ST. ESTEVE via MARCEL,3,,,ktcl-goa-in
MRG141,MRG141,PANAJI - SUBDALEM via CUNCOLIM,3,,,ktcl-goa-in
PNJ35,PNJ35,PANAJI - SURLA,3,,,ktcl-goa-in
PRV47,PRV47,PANAJI - SURLA,3,,,ktcl-goa-in
PNJ67,PNJ67,PANAJI - TAMDI SURLA via PONDA,3,,,ktcl-goa-in
PNJ115IS,PNJ115IS,PANAJI - TEREKHOL via MALEWAD,3,,,ktcl-goa-in
PRV110,PRV110,PANAJI - SIOLIM TAR via MAPUSA,3,,,ktcl-goa-in
PRV102,PRV102,PANAJI - MANDRE MDMZ,3,,,ktcl-goa-in
PRV154IS,PRV154IS,PANAJI - SAUNDATTI via CHORLA,3,,,ktcl-goa-in
PNJ24,PNJ24,PANAJI - SATRE,3,,,ktcl-goa-in
PRV137,PRV137,PANAJI - PONDA via CORTALIM,3,,,ktcl-goa-in
MRG12,MRG12,PANAJI - PONDA via KUNDAI,3,ab2264,,ktcl-goa-in
VSD24,VSD24,"PANAJI - PONDA via TALAULIM,TALAULIM",3,,,ktcl-goa-in
MRG43,MRG43,PANAJI - POPAIDANDO,3,,,ktcl-goa-in
PRV90,PRV90,PANAJI - PORASKADE via WARKHAND,3,,,ktcl-goa-in
PNJ25,PNJ25,PANAJI - SATRE via MAPUSA,3,,,ktcl-goa-in
PNJ195,PNJ195,PANAJI - QUITLA,3,,,ktcl-goa-in
PRV55,PRV55,PANAJI - QUITLA via MAPUSA,3,,,ktcl-goa-in
PNJ99,PNJ99,PANAJI - RITE COLAGE,3,,,ktcl-goa-in
PNJ103,PNJ103,PANAJI - RITE COLAGE,3,,,ktcl-goa-in
PRV49,PRV49,PANAJI - SAL via DODAMARG,3,,,ktcl-goa-in
