timetable_id,route_id,timetable_label,direction_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,direction_name,timetable_sequence
1,V2,"Panaji To Panaji via Panaji Ferry, Kala Academy, Patto Plaza : Onward",0,1,1,1,1,1,1,1,Onward,1
2,V2,"Panaji To Panaji via Panaji Ferry, Kala Academy, Patto Plaza : Return",1,1,1,1,1,1,1,1,Return,1
3,V1,"Panaji To Panaji via Patto Plaza, Portais, Kala Academy : Onward",0,1,1,1,1,1,1,1,Onward,1
4,V1,"Panaji To Panaji via Patto Plaza, Portais, Kala Academy : Return",1,1,1,1,1,1,1,1,Return,1
5,I2,Neuro Rehab Centre To Panaji Market (DB Marg) via Neuro Rehab Centre To Panaji Market (DB Marg) : Onward,0,1,1,1,1,1,1,1,Onward,2
6,I2,Neuro Rehab Centre To Panaji Market (DB Marg) via Neuro Rehab Centre To Panaji Market (DB Marg) : Return,1,1,1,1,1,1,1,1,Return,2
7,I1,Panaji Market (DB Marg) To Neuro Rehab Centre via Panaji Market (DB Marg) To Neuro Rehab Centre : Onward,0,1,1,1,1,1,1,1,Onward,2
8,I1,Panaji Market (DB Marg) To Neuro Rehab Centre via Panaji Market (DB Marg) To Neuro Rehab Centre : Return,1,1,1,1,1,1,1,1,Return,2
9,B1,Central Panaji City Route via Central Panaji City Route : Onward,0,1,1,1,1,1,1,1,Onward,3
10,B1,Central Panaji City Route via Central Panaji City Route : Return,1,1,1,1,1,1,1,1,Return,3
11,G1,"Panaji To Panaji via Church Square, Goa Art College, Panji Market : Onward",0,1,1,1,1,1,1,1,Onward,4
12,G1,"Panaji To Panaji via Church Square, Goa Art College, Panji Market : Return",1,1,1,1,1,1,1,1,Return,4
13,G2,"Panaji To Panaji via Panji Ferry, Kala Academy, Old Patto Bridge : Onward",0,1,1,1,1,1,1,1,Onward,4
14,G2,"Panaji To Panaji via Panji Ferry, Kala Academy, Old Patto Bridge : Return",1,1,1,1,1,1,1,1,Return,4
15,Y1,Panaji To Panaji via BAMBOLIM-DONA PAULA-MIRAMAR : Onward,0,1,1,1,1,1,1,1,Onward,5
16,Y1,Panaji To Panaji via BAMBOLIM-DONA PAULA-MIRAMAR : Return,1,1,1,1,1,1,1,1,Return,5
17,Y2,"Panaji To Panaji via MIRAMAR,DONA PAULA,BAMBOLIM : Onward",0,1,1,1,1,1,1,1,Onward,5
18,Y2,"Panaji To Panaji via MIRAMAR,DONA PAULA,BAMBOLIM : Return",1,1,1,1,1,1,1,1,Return,5
19,O1,"Panaji To Panaji via Patto Plaza, Taleigao, Portais : Onward",0,1,1,1,1,1,1,1,Onward,6
20,O1,"Panaji To Panaji via Patto Plaza, Taleigao, Portais : Return",1,1,1,1,1,1,1,1,Return,6
21,R2,"Panaji Bus Stand To Panaji Bus Stand via CARANZALEM, DONA PAULA, TALEIGAO : Onward",0,1,1,1,1,1,1,1,Onward,7
22,R2,"Panaji Bus Stand To Panaji Bus Stand via CARANZALEM, DONA PAULA, TALEIGAO : Return",1,1,1,1,1,1,1,1,Return,7
23,R1,"Panaji Bus Stand To Panaji Bus Stand via TALEIGAO, DONA PAULA, CARANZALEM : Onward",0,1,1,1,1,1,1,1,Onward,7
24,R1,"Panaji Bus Stand To Panaji Bus Stand via TALEIGAO, DONA PAULA, CARANZALEM : Return",1,1,1,1,1,1,1,1,Return,7
25,PRV230,ADVOI - MORLLEM : Onward,0,1,1,1,1,1,1,1,Onward,100
26,PRV230,ADVOI - MORLLEM : Return,1,1,1,1,1,1,1,1,Return,100
27,VSD81,AGAPUR - VASCO : Onward,0,1,1,1,1,1,1,1,Onward,100
28,VSD81,AGAPUR - VASCO : Return,1,1,1,1,1,1,1,1,Return,100
29,VSD43E,AIRPORT - CALANGUTE via PANAJI : Onward,0,1,1,1,1,1,1,1,Onward,100
30,VSD43E,AIRPORT - CALANGUTE via PANAJI : Return,1,1,1,1,1,1,1,1,Return,100
31,PRV175,ASSNODA - VERNA IND via PANAJI : Onward,0,1,1,1,1,1,1,1,Onward,100
32,PRV175,ASSNODA - VERNA IND via PANAJI : Return,1,1,1,1,1,1,1,1,Return,100
33,VSD83,ASSOLDA - VASCO : Onward,0,1,1,1,1,1,1,1,Onward,100
34,VSD83,ASSOLDA - VASCO : Return,1,1,1,1,1,1,1,1,Return,100
35,PNJ29,BAMBOLI GMC - SHIGNE via MARCEL : Onward,0,1,1,1,1,1,1,1,Onward,100
36,PNJ29,BAMBOLI GMC - SHIGNE via MARCEL : Return,1,1,1,1,1,1,1,1,Return,100
37,PRV76,BICHOLIM - BICHOLIM : Onward,0,1,1,1,1,1,1,1,Onward,100
38,PRV76,BICHOLIM - BICHOLIM : Return,1,1,1,1,1,1,1,1,Return,100
39,PRV79,BICHOLIM - BICHOLIM via SINQUERIM : Onward,0,1,1,1,1,1,1,1,Onward,100
40,PRV79,BICHOLIM - BICHOLIM via SINQUERIM : Return,1,1,1,1,1,1,1,1,Return,100
41,PNJ44,BICHOLIM - DHARBANDORA : Onward,0,1,1,1,1,1,1,1,Onward,100
42,PNJ44,BICHOLIM - DHARBANDORA : Return,1,1,1,1,1,1,1,1,Return,100
43,PRV233,BICHOLIM - HATURLI : Onward,0,1,1,1,1,1,1,1,Onward,100
44,PRV233,BICHOLIM - HATURLI : Return,1,1,1,1,1,1,1,1,Return,100
45,PNJ91,BICHOLIM - HIVRE via VALPOI : Onward,0,1,1,1,1,1,1,1,Onward,100
46,PNJ91,BICHOLIM - HIVRE via VALPOI : Return,1,1,1,1,1,1,1,1,Return,100
47,PRV81,BICHOLIM - MADEL via HATURLI : Onward,0,1,1,1,1,1,1,1,Onward,100
48,PRV81,BICHOLIM - MADEL via HATURLI : Return,1,1,1,1,1,1,1,1,Return,100
49,PRV80,BICHOLIM - MADEL via SADETIR : Onward,0,1,1,1,1,1,1,1,Onward,100
50,PRV80,BICHOLIM - MADEL via SADETIR : Return,1,1,1,1,1,1,1,1,Return,100
51,PNJ21,BICHOLIM - MARGAO : Onward,0,1,1,1,1,1,1,1,Onward,100
52,PNJ21,BICHOLIM - MARGAO : Return,1,1,1,1,1,1,1,1,Return,100
53,PRV82,BICHOLIM - MURDI via PILGAO : Onward,0,1,1,1,1,1,1,1,Onward,100
54,PRV82,BICHOLIM - MURDI via PILGAO : Return,1,1,1,1,1,1,1,1,Return,100
55,PRV78,BICHOLIM - NARVA : Onward,0,1,1,1,1,1,1,1,Onward,100
56,PRV78,BICHOLIM - NARVA : Return,1,1,1,1,1,1,1,1,Return,100
57,PRV77,BICHOLIM - NARVA via MAYEM LAKE : Onward,0,1,1,1,1,1,1,1,Onward,100
58,PRV77,BICHOLIM - NARVA via MAYEM LAKE : Return,1,1,1,1,1,1,1,1,Return,100
59,PNJ22,BICHOLIM - PANAJI : Onward,0,1,1,1,1,1,1,1,Onward,100
60,PNJ22,BICHOLIM - PANAJI : Return,1,1,1,1,1,1,1,1,Return,100
61,PRV19,BICHOLIM - PONDA via MARCEL : Onward,0,1,1,1,1,1,1,1,Onward,100
62,PRV19,BICHOLIM - PONDA via MARCEL : Return,1,1,1,1,1,1,1,1,Return,100
63,MRG195E,CALANGUTE - MOPA AIRPORT : Onward,0,1,1,1,1,1,1,1,Onward,100
64,MRG195E,CALANGUTE - MOPA AIRPORT : Return,1,1,1,1,1,1,1,1,Return,100
65,MRG47MB,CANACONA - CAB.DE.RAM : Onward,0,1,1,1,1,1,1,1,Onward,100
66,MRG47MB,CANACONA - CAB.DE.RAM : Return,1,1,1,1,1,1,1,1,Return,100
67,MRG47,CANACONA - CAB.DE.RAM : Onward,0,1,1,1,1,1,1,1,Onward,100
68,MRG47,CANACONA - CAB.DE.RAM : Return,1,1,1,1,1,1,1,1,Return,100
69,MRG339MB,CANACONA - CURCHOREM : Onward,0,1,1,1,1,1,1,1,Onward,100
70,MRG339MB,CANACONA - CURCHOREM : Return,1,1,1,1,1,1,1,1,Return,100
71,MRG316MB,CANACONA - GAODONGRI : Onward,0,1,1,1,1,1,1,1,Onward,100
72,MRG316MB,CANACONA - GAODONGRI : Return,1,1,1,1,1,1,1,1,Return,100
73,MRG346MB,CANACONA - INDRAWADO : Onward,0,1,1,1,1,1,1,1,Onward,100
74,MRG346MB,CANACONA - INDRAWADO : Return,1,1,1,1,1,1,1,1,Return,100
75,MRG317MB,CANACONA - KHOLA : Onward,0,1,1,1,1,1,1,1,Onward,100
76,MRG317MB,CANACONA - KHOLA : Return,1,1,1,1,1,1,1,1,Return,100
77,MRG313MB,CANACONA - KUSKEM : Onward,0,1,1,1,1,1,1,1,Onward,100
78,MRG313MB,CANACONA - KUSKEM : Return,1,1,1,1,1,1,1,1,Return,100
79,MRG50,CANACONA - MATIMOL : Onward,0,1,1,1,1,1,1,1,Onward,100
80,MRG50,CANACONA - MATIMOL : Return,1,1,1,1,1,1,1,1,Return,100
81,MRG326MB,CANACONA - MATTIMOL : Onward,0,1,1,1,1,1,1,1,Onward,100
82,MRG326MB,CANACONA - MATTIMOL : Return,1,1,1,1,1,1,1,1,Return,100
83,MRG323MB,CANACONA - MUDKUD : Onward,0,1,1,1,1,1,1,1,Onward,100
84,MRG323MB,CANACONA - MUDKUD : Return,1,1,1,1,1,1,1,1,Return,100
85,MRG336MB,CANACONA - PALOLEM : Onward,0,1,1,1,1,1,1,1,Onward,100
86,MRG336MB,CANACONA - PALOLEM : Return,1,1,1,1,1,1,1,1,Return,100
87,MRG319MB,CANACONA - PEDDE : Onward,0,1,1,1,1,1,1,1,Onward,100
88,MRG319MB,CANACONA - PEDDE : Return,1,1,1,1,1,1,1,1,Return,100
89,MRG342MB,CANACONA - POIGUINIM : Onward,0,1,1,1,1,1,1,1,Onward,100
90,MRG342MB,CANACONA - POIGUINIM : Return,1,1,1,1,1,1,1,1,Return,100
91,MRG328MB,CANACONA - POLLEM : Onward,0,1,1,1,1,1,1,1,Onward,100
92,MRG328MB,CANACONA - POLLEM : Return,1,1,1,1,1,1,1,1,Return,100
93,MRG46,CANACONA - POPAIDANDO : Onward,0,1,1,1,1,1,1,1,Onward,100
94,MRG46,CANACONA - POPAIDANDO : Return,1,1,1,1,1,1,1,1,Return,100
95,MRG320MB,CANACONA - TISCON : Onward,0,1,1,1,1,1,1,1,Onward,100
96,MRG320MB,CANACONA - TISCON : Return,1,1,1,1,1,1,1,1,Return,100
97,MRG49MB,CANACONA - TUDAL via GAODONGARI : Onward,0,1,1,1,1,1,1,1,Onward,100
98,MRG49MB,CANACONA - TUDAL via GAODONGARI : Return,1,1,1,1,1,1,1,1,Return,100
99,MRG324MB,CANACONA - VAIZWADA : Onward,0,1,1,1,1,1,1,1,Onward,100
100,MRG324MB,CANACONA - VAIZWADA : Return,1,1,1,1,1,1,1,1,Return,100
101,MRG44,CANACONA - VAL : Onward,0,1,1,1,1,1,1,1,Onward,100
102,MRG44,CANACONA - VAL : Return,1,1,1,1,1,1,1,1,Return,100
103,MRG376MB,COPRIMODDI - MARGAO : Onward,0,1,1,1,1,1,1,1,Onward,100
104,MRG376MB,COPRIMODDI - MARGAO : Return,1,1,1,1,1,1,1,1,Return,100
105,MRG58,CUNCOLIM - BETUL via MURIDA : Onward,0,1,1,1,1,1,1,1,Onward,100
106,MRG58,CUNCOLIM - BETUL via MURIDA : Return,1,1,1,1,1,1,1,1,Return,100
107,MRG57,CUNCOLIM - VELIM MKT via MURIDA : Onward,0,1,1,1,1,1,1,1,Onward,100
108,MRG57,CUNCOLIM - VELIM MKT via MURIDA : Return,1,1,1,1,1,1,1,1,Return,100
109,MRG375MB,CURCHOREM - ASSOLDA : Onward,0,1,1,1,1,1,1,1,Onward,100
110,MRG375MB,CURCHOREM - ASSOLDA : Return,1,1,1,1,1,1,1,1,Return,100
111,MRG106,CURCHOREM - FMD ENG CLG : Onward,0,1,1,1,1,1,1,1,Onward,100
112,MRG106,CURCHOREM - FMD ENG CLG : Return,1,1,1,1,1,1,1,1,Return,100
113,MRG122IS,CURCHOREM - KARWAR via CUNCOLIM : Onward,0,1,1,1,1,1,1,1,Onward,100
114,MRG122IS,CURCHOREM - KARWAR via CUNCOLIM : Return,1,1,1,1,1,1,1,1,Return,100
115,MRG167,CURCHOREM - MANGAL : Onward,0,1,1,1,1,1,1,1,Onward,100
116,MRG167,CURCHOREM - MANGAL : Return,1,1,1,1,1,1,1,1,Return,100
117,MRG165,CURCHOREM - MANGAL via RIVONA : Onward,0,1,1,1,1,1,1,1,Onward,100
118,MRG165,CURCHOREM - MANGAL via RIVONA : Return,1,1,1,1,1,1,1,1,Return,100
119,MRG166,CURCHOREM - MANGAL via SULCORNA : Onward,0,1,1,1,1,1,1,1,Onward,100
120,MRG166,CURCHOREM - MANGAL via SULCORNA : Return,1,1,1,1,1,1,1,1,Return,100
121,MRG374MB,CURCHOREM - MARGAO : Onward,0,1,1,1,1,1,1,1,Onward,100
